ORG,APARICIONS
jutjat social núm. 2 de terrassa,74
jutjat social núm. 20 de barcelona,183
jutjat social núm. 21 de barcelona,207
jutjat social núm. 24 de barcelona,146
jutjat social núm. 25 de barcelona,531
jutjat social núm. 26 de barcelona,493
jutjat social núm. 27 de barcelona,250
jutjat social núm. 3 de sabadell,410
jutjat social núm. 35 de barcelona,24
jutjat social núm. 4 de barcelona,65
jutjat social núm. 6 de barcelona,260
jutjat social núm. 7 de barcelona,158
jutjats socials de barcelona. equip transversal de reforç,3
mancomunitat d'aigües de merlès,7
mancomunitat de l'alt maresme per a la gestió de residus sòlids urbans i del medi ambient,21
mancomunitat de l'alta segarra,13
mancomunitat de la fontsanta,6
mancomunitat de municipis berguedans per a la biomassa,5
mancomunitat de municipis del bages per al sanejament,52
mancomunitat del bisaura i l'alt lluçanès,4
"mancomunitat dels municipis de premià de dalt, premià de mar i vilassar de dalt per a serveis de deixalleria",12
mancomunitat intermunicipal de cerdanyola del vallès-ripollet-montcada i reixac,1
"mancomunitat intermunicipal de l'anoia per a la recollida, gestió i reducció de residus",7
mancomunitat intermunicipal de la conca d'òdena,21
mancomunitat intermunicipal de la vall del tenes,38
mancomunitat intermunicipal de martorelles i santa maria de martorelles,3
mancomunitat intermunicipal de serveis anoia de ponent,4
"mancomunitat intermunicipal de serveis d'alella, el masnou i teià",17
mancomunitat intermunicipal del cardener,16
"mancomunitat intermunicipal voluntària dels municipis de navàs, montmajor, viver i serrateix, montclar i l'espunyola, per la prestació conjunta del servei d'abastament d'aigua en alta",2
mancomunitat intermunicipal voluntària la plana,129
mancomunitat la gavarresa,1
mancomunitat municipal can sellarès,1
mancomunitat penedès-garraf,84
mancomunitat per a l'atenció dels minusvàlids psíquics de la comarca de l'anoia,5
mancomunitat tegar del garraf,63
"mercats d'abastaments de barcelona, sa (mercabarna)",1
mugenat. mutua de accidentes de trabajo y enfermedades profesionales de la seguridad social número 10,2
notaria cristina requena torrecillas,1
notaria d'albert domingo castellà,1
notaria de josé antonio garcía vila,1
notaria de santiago gotor sánchez,1
organisme demo,1
real canal de la infanta doña luisa carlota de borbón,3
"recollida de residus d'osona, sl",1
secretaría general de transportes y movilidad. dirección general de aviación civil,1
"serveis municipals de sant esteve sesrovires, slu",1
subdelegació del govern a barcelona,14
"terrassa cicle de l'aigua, epel",4
"torra, sa, serveis funeraris de sabadell",25
"transports de barcelona, sa",51
"transports metropolitans de barcelona, sl",1
"transports metropolitans de barcelona. projectes i serveis de mobilitat, sa",4
tribunal de cuentas. sección de enjuiciamiento. departamento 1º,1
tribunal de cuentas. sección de enjuiciamiento. departamento 2º,4
tribunal de cuentas. sección de enjuiciamiento. departamento 3º,3
tribunal superior de justícia catalunya. secretaria,17
tribunal superior de justícia de catalunya. sala contenciosa administrativa. secció cinquena,1
"vallès oriental televisió, slu",16
àrea metropolitana de barcelona,703
"àrea metropolitana de barcelona. amb informació i serveis, sa",1
"àrea metropolitana de barcelona. ferrocarril metropolità de barcelona, sa",83
àrea metropolitana de barcelona. institut metropolità de promoció del sòl i gestió patrimonial,63
àrea metropolitana de barcelona. institut metropolità del taxi,14
