ORG,APARICIONS
ajuntament de les masies de voltregà,148
ajuntament de llinars del vallès,226
"ajuntament de llinars del vallès. llinars cultural, slu",3
ajuntament de lliçà d'amunt,167
ajuntament de lliçà de vall,243
ajuntament de lluçà,52
ajuntament de malgrat de mar,219
ajuntament de malla,64
ajuntament de manlleu,312
ajuntament de manresa,690
"ajuntament de manresa. foment de la rehabilitació urbana de manresa, sa",3
ajuntament de marganell,54
ajuntament de martorell,225
"ajuntament de martorell. gestió del sòl, empresa municipal, sl",2
ajuntament de martorell. patronat municipal de serveis d'atenció a les persones,38
ajuntament de martorelles,153
"ajuntament de masnou. serveis urbans del masnou empresa municipal, sl",6
ajuntament de masquefa,207
ajuntament de matadepera,177
ajuntament de mataró,695
ajuntament de mataró. cementiris metropolitans,3
ajuntament de mataró. entitat pública empresarial mataró audiovisual,8
"ajuntament de mataró. promocions urbanístiques de mataró, sa",2
ajuntament de mediona,80
ajuntament de moià,209
"ajuntament de moià. societat municipal d'aigües de moià, sa",1
ajuntament de molins de rei,363
"ajuntament de molins de rei. molivers societat municipal, sl",12
ajuntament de mollet del vallès,307
ajuntament de mollet del vallès. fundació municipal joan abelló,1
ajuntament de mollet del vallès. institut municipal d'educació,1
ajuntament de mollet del vallès. institut municipal de serveis als discapacitats,1
ajuntament de monistrol de calders,57
ajuntament de monistrol de montserrat,182
ajuntament de montcada i reixac,203
ajuntament de montclar,45
ajuntament de montesquiu,78
ajuntament de montgat,237
ajuntament de montmajor,50
ajuntament de montmaneu,42
ajuntament de montmeló,204
ajuntament de montornès del vallès,390
ajuntament de montseny,110
ajuntament de muntanyola,48
ajuntament de mura,75
ajuntament de navarcles,221
ajuntament de navàs,152
"ajuntament de navàs. serveis municipals de navàs, slu",4
ajuntament de pacs del penedès,131
ajuntament de palafolls,400
ajuntament de palau-solità i plegamans,347
ajuntament de pallejà,277
ajuntament de parets del vallès,260
ajuntament de perafita,75
ajuntament de piera,181
"ajuntament de piera. industrial piera, sa",15
ajuntament de pineda de mar,220
ajuntament de polinyà,221
ajuntament de pontons,56
ajuntament de prats de lluçanès,150
ajuntament de premià de dalt,207
ajuntament de premià de mar,276
ajuntament de puig-reig,87
ajuntament de puigdàlber,57
ajuntament de pujalt,15
ajuntament de rajadell,59
ajuntament de rellinars,84
ajuntament de ripollet,307
ajuntament de roda de ter,159
ajuntament de rubió,39
ajuntament de rubí,544
"ajuntament de rubí. font del ferro, sl",1
"ajuntament de rubí. promocions urbanes de rubí, sa",10
ajuntament de rupit i pruit,82
ajuntament de sabadell,899
"ajuntament de sabadell. comunicacions audiovisuals de sabadell, slu",2
"ajuntament de sabadell. promoció econòmica de sabadell, sl",3
"ajuntament de sabadell. vimusa habitatges municipals de sabadell, sa",1
ajuntament de sagàs,22
ajuntament de saldes,58
ajuntament de sallent,229
ajuntament de sant adrià de besòs,385
"ajuntament de sant adrià del besòs. estacionaments urbans de sant adrià de besòs, sau",2
ajuntament de sant agustí de lluçanès,40
ajuntament de sant andreu de la barca,279
"ajuntament de sant andreu de la barca. sab-urbà, sl",2
ajuntament de sant andreu de llavaneres,353
ajuntament de sant antoni de vilamajor,232
ajuntament de sant bartomeu del grau,77
ajuntament de sant boi de llobregat,510
ajuntament de sant boi de lluçanès,49
ajuntament de sant cebrià de vallalta,143
ajuntament de sant celoni,304
ajuntament de sant climent de llobregat,131
ajuntament de sant cugat del vallès,630
ajuntament de sant cugat del vallès. entitat pública empresarial local epel cugat.cat,16
"ajuntament de sant cugat del vallès. institut de gestió estratègica, promoció econòmica i societat de la informació (igepesi)",4
ajuntament de sant cugat del vallès. organisme autònom centre cultural de sant cugat,13
ajuntament de sant cugat del vallès. patronat municipal d'educació,17
ajuntament de sant cugat del vallès. promusa,4
ajuntament de sant cugat sesgarrigues,116
ajuntament de sant esteve de palautordera,196
ajuntament de sant esteve sesrovires,257
ajuntament de sant feliu de codines,116
ajuntament de sant feliu de llobregat,291
ajuntament de sant feliu sasserra,37
ajuntament de sant fost de campsentelles,120
ajuntament de sant fruitós de bages,356
ajuntament de sant hipòlit de voltregà,108
ajuntament de sant iscle de vallalta,185
ajuntament de sant jaume de frontanyà,19
ajuntament de sant joan de vilatorrada,270
ajuntament de sant joan de vilatorrada. patronat municipal assistencial,15
ajuntament de sant joan despí,235
"ajuntament de sant joan despí. aparcamientos despí, sa",1
ajuntament de sant julià de cerdanyola,39
ajuntament de sant julià de vilatorta,94
ajuntament de sant just desvern,307
ajuntament de sant just desvern. promunsa,7
ajuntament de sant llorenç d'hortons,152
ajuntament de sant llorenç savall,117
ajuntament de sant martí d'albars,41
ajuntament de sant martí de centelles,60
ajuntament de sant martí de tous,92
ajuntament de sant martí sarroca,113
ajuntament de sant martí sesgueioles,27
ajuntament de sant mateu de bages,191
ajuntament de sant pere de ribes,372
ajuntament de sant pere de riudebitlles,125
ajuntament de sant pere de torelló,127
ajuntament de sant pere de vilamajor,154
ajuntament de sant pere sallavinera,84
ajuntament de sant pol de mar,147
ajuntament de sant quintí de mediona,95
ajuntament de sant quirze de besora,63
ajuntament de sant quirze del vallès,272
"ajuntament de sant quirze del vallès. sant quirze serveis municipals, sl",5
ajuntament de sant quirze safaja,54
ajuntament de sant sadurní d'anoia,344
ajuntament de sant sadurní d'osormort,41
ajuntament de sant salvador de guardiola,167
ajuntament de sant vicenç de castellet,319
ajuntament de sant vicenç de montalt,155
ajuntament de sant vicenç de torelló,138
ajuntament de sant vicenç dels horts,492
ajuntament de santa cecília de voltregà,40
ajuntament de santa coloma de cervelló,278
ajuntament de santa coloma de gramenet,410
"ajuntament de santa coloma de gramenet. grameimpuls, sa",21
"ajuntament de santa coloma de gramenet. gramepark, sa",4
ajuntament de santa coloma de gramenet. patronat municipal de la música,30
ajuntament de santa eugènia de berga,122
ajuntament de santa eulàlia de riuprimer,71
ajuntament de santa eulàlia de ronçana,159
ajuntament de santa fe del penedès,30
ajuntament de santa margarida de montbui,222
ajuntament de santa margarida i els monjos,263
ajuntament de santa maria d'oló,91
ajuntament de santa maria de besora,57
ajuntament de santa maria de martorelles,70
ajuntament de santa maria de merlès,16
ajuntament de santa maria de miralles,49
ajuntament de santa maria de palautordera,288
ajuntament de santa perpètua de mogoda,479
"ajuntament de santa perpètua de mogoda. mogoda serveis generals, sam",1
ajuntament de santa susanna,154
ajuntament de santpedor,140
ajuntament de sentmenat,142
ajuntament de seva,197
ajuntament de sitges,379
ajuntament de sobremunt,71
ajuntament de sora,68
ajuntament de subirats,282
ajuntament de súria,362
ajuntament de tagamanent,93
ajuntament de talamanca,62
ajuntament de taradell,198
ajuntament de tavertet,47
ajuntament de tavèrnoles,57
ajuntament de teià,214
ajuntament de terrassa,561
ajuntament de tiana,230
ajuntament de tona,238
ajuntament de tordera,403
ajuntament de torelló,366
ajuntament de torrelavit,83
ajuntament de torrelles de foix,96
ajuntament de torrelles de llobregat,152
ajuntament de vacarisses,146
ajuntament de vallbona d'anoia,101
ajuntament de vallcebre,55
ajuntament de vallgorguina,137
ajuntament de vallirana,242
ajuntament de vallromanes,87
ajuntament de veciana,42
ajuntament de vic,503
"ajuntament de vic. impulsvic, slu",4
ajuntament de vic. organisme autònom de fires i mercats,18
ajuntament de vic. organisme autònom local xarxa de serveis urbans,5
ajuntament de vilada,13
ajuntament de viladecans,409
"ajuntament de viladecans. spm viladecans mediterrània, sl",3
ajuntament de viladecavalls,217
ajuntament de vilafranca del penedès,305
ajuntament de vilalba sasserra,96
ajuntament de vilanova de sau,66
ajuntament de vilanova del camí,207
ajuntament de vilanova del vallès,203
ajuntament de vilanova i la geltrú,572
ajuntament de vilanova i la geltrú. companyia d'aigües de vilanova i la geltrú,1
ajuntament de vilanova i la geltrú. entitat pública empresarial local neàpolis,7
"ajuntament de vilanova i la geltrú. informació i comunicació de vilanova i la geltrú, s.a.m.",6
ajuntament de vilanova i la geltrú. institut municipal d'educació i treball,51
ajuntament de vilanova i la geltrú. institut municipal de patrimoni cultural,1
ajuntament de vilanova i la geltrú. organisme autònom de patrimoni víctor balaguer,3
ajuntament de vilanova i la geltrú. organisme autònom municipal d'assistència integral social i sanitària,17
"ajuntament de vilanova i la geltrú. serveis d'aparcaments de vilanova i la geltrú, societat anònima municipal",8
ajuntament de vilassar de dalt,388
"ajuntament de vilassar de dalt. vilassar de dalt aigües, epel- vida",10
"ajuntament de vilassar de dalt. viserma, serveis i manteniments, slu",9
ajuntament de vilassar de mar,211
ajuntament de vilassar de mar. patronat municipal d'escoles bressol,7
"ajuntament de vilassar de mar. societat municipal de promocions urbanes, sa",2
ajuntament de vilobí del penedès,53
ajuntament de viver i serrateix,20
ajuntament del bruc,214
ajuntament del brull,88
ajuntament del masnou,638
ajuntament del papiol,222
ajuntament del pla del penedès,55
ajuntament del pont de vilomara i rocafort,83
ajuntament del prat de llobregat,434
ajuntament dels hostalets de pierola,149
"ajuntament dels hostalets de pierola. hoserpi, sl",3
ajuntament dels prats de rei,65
asociación de propietarios del polígono industrial manso mateu de el prat de llobregat,3
associació pel desenvolupament rural de la catalunya central,3
audiència provincial de barcelona. oficina del jurat,1
audiència provincial de barcelona. secció 10a,4
audiència provincial de barcelona. secció 15a,4
autoritat portuària de barcelona,3
ayuntamiento de graus,1
"barcelona regional, agència de desenvolupament urbà, sa",1
cambra oficial de comerç i indústria de manresa,12
cambra oficial de comerç i indústria de sabadell,3
"cambra oficial de comerç, indústria i serveis de terrassa",12
"ccb serveis mediambientals, s.a.u.",12
col·legi d'administradors de finques de barcelona-lleida,2
col·legi notarial de catalunya,9
col·legi oficial d'infermeres i infermers de barcelona,13
comunitat d'usuaris d'aigües de la cubeta de sant andreu de la barca,4
comunitat d'usuaris d'aigües de la vall baixa i delta del llobregat,5
comunitat d'usuaris d'aigües subterrànies de la cubeta d'abrera,2
comunitat de regants de santa maria de palautordera,4
comunitat de regants del camí del rieral la ponderosa,3
consell comarcal d'osona,290
"consell comarcal d'osona. onaigua, epel",3
consell comarcal de l'alt penedès,215
consell comarcal de l'anoia,181
consell comarcal de la cerdanya,3
consell comarcal del bages,178
consell comarcal del bages. patronat del parc geològic i miner de la catalunya central,2
consell comarcal del baix llobregat,211
consell comarcal del berguedà,160
consell comarcal del garraf,168
consell comarcal del maresme,542
consell comarcal del moianès,127
consell comarcal del vallès occidental,181
consell comarcal del vallès oriental,192
consorci badalona sud,11
consorci besòs tordera,86
consorci campus diagonal-besòs,5
consorci català pel desenvolupament local,4
consorci d'atenció a la gent gran de callús,3
consorci d'educació de barcelona,5
consorci d'educació especial montserrat montero,29
"consorci d'estudis, mediació i conciliació a l'administració local",9
consorci d'osona de serveis socials,118
consorci de biblioteques de barcelona,31
consorci de gestió de l'aeròdrom general vives d'igualada-òdena,6
consorci de l'agència local d'energia de barcelona,15
consorci de l'auditori i l'orquestra,23
consorci de l'espai natural de les guilleries-savassona,18
consorci de l'habitatge de barcelona,60
consorci de l'habitatge de l'àrea metropolitana de barcelona,59
consorci de la colònia güell,4
"consorci de la vall del ges, orís i bisaura",62
consorci de les drassanes reials i museu marítim de barcelona,42
consorci de promoció turística costa del maresme,21
consorci de promoció turística del penedès,17
consorci de turisme del baix llobregat,15
consorci del bages per a la gestió de residus,62
consorci del barri de la mina,9
consorci del besòs,44
consorci del campus interuniversitari diagonal-besòs,5
consorci del centre de cultura contemporània de barcelona,37
consorci del centre de documentació i museu tèxtil de terrassa,30
consorci del lluçanès,52
consorci del mercat de les flors,19
consorci del museu de ciències naturals de barcelona,13
consorci del parc agrari del baix llobregat,21
consorci del parc de la serralada de marina,11
consorci del parc de la serralada litoral,20
consorci del parc del foix,9
consorci del parc natural de la serra de collserola,95
consorci del patrimoni de sitges,47
consorci del ter,21
consorci institut d'estudis regionals i metropolitans de barcelona,5
consorci institut de ciències polítiques i socials,21
consorci la tossa de montbui,5
consorci museu d'art contemporani de barcelona,17
consorci museu d'art contemporani de mataró,5
consorci per a l'impuls de serveis educatius i socials (cises),8
consorci per a la construcció i explotació de la quarta planta de tractament integral dels residus municipals de l'àrea metropolitana de barcelona,16
consorci per a la gestió de la televisió digital local pública de la demarcació d'igualada,6
consorci per a la gestió de residus del vallès occidental,46
consorci per a la gestió de residus del vallès oriental,77
consorci per a la gestió de residus urbans d'osona,16
consorci per a la gestió integral d'aigües de catalunya,26
consorci per a la promoció dels municipis del moianès,27
consorci per al tractament de residus sòlids urbans del maresme,48
consorci sociosanitari d'igualada,5
consorci sociosanitari de vilafranca del penedès,25
consorci teledigital garraf,7
consorci teledigital granollers,10
consorci teledigital mollet,6
"consorci transversal, xarxa d'activitats culturals de mataró",16
consorci universitari centre associat de la uned província de barcelona,1
consorci universitat internacional menéndez pelayo de barcelona. centre ernest lluch,21
consorci urbanístic can filuà,1
consorci urbanístic del centre direccional de cerdanyola del vallès,2
consorci urbanístic l'agulla,11
consorci urbanístic per al desenvolupament del sector eixample nord de vilanova i la geltrú,5
"creacció agència d'emprenedoria, innovació i coneixement, sl",31
delegació del govern a catalunya,2
delegació especial d'economia i hisenda de barcelona,2
demarcació de carreteres de l'estat a catalunya. barcelona,9
demarcació de costes a catalunya. barcelona,8
"depuradores d'osona, sl",12
diplocat,1
diputació de barcelona.  direcció de serveis de tecnologies i sistemes corporatius,4
diputació de barcelona. direcció de relacions internacionals,1
diputació de barcelona. direcció de relacions internacionals. oficina d'europa i estratègia internacional,2
diputació de barcelona. direcció de relacions internacionals. oficina de cooperació al desenvolupament,4
diputació de barcelona. direcció de serveis de cooperació local,132
diputació de barcelona. direcció de serveis de suport a la coordinació general,11
diputació de barcelona. direcció dels serveis de recursos humans,92
diputació de barcelona. direcció dels serveis de recursos humans. oficina d'accés i gestió de la contractació,80
diputació de barcelona. direcció dels serveis de recursos humans. oficina de prevenció de riscos laborals,1
diputació de barcelona. direcció dels serveis de recursos humans. servei d'administració de recursos humans,45
diputació de barcelona. direcció dels serveis de recursos humans. servei de relacions col·lectives i suport jurídic,15
diputació de barcelona. direcció dels serveis de recursos humans. subdirecció de planificació i selecció de recursos humans,322
diputació de barcelona. direcció dels serveis de secretaria,19
diputació de barcelona. gabinet d'innovació digital,6
diputació de barcelona. gabinet de premsa i comunicació. servei de premsa i xarxes socials,4
diputació de barcelona. gerència de serveis d'assistència al govern local,31
diputació de barcelona. gerència de serveis d'educació,1
diputació de barcelona. gerència de serveis d'espais naturals,8
"diputació de barcelona. gerència de serveis d'espais naturals. servei d'anàlisi i gestió territorial, inversions i obres",46
diputació de barcelona. gerència de serveis d'espais naturals. servei de gestió de parcs naturals,12
diputació de barcelona. gerència de serveis d'esports,7
diputació de barcelona. gerència de serveis d'igualtat i ciutadania,1
"diputació de barcelona. gerència de serveis d'igualtat i ciutadania. servei de convivència, diversitat i cicle de vida",20
diputació de barcelona. gerència de serveis d'igualtat i ciutadania. servei de polítiques d'igualtat,11
diputació de barcelona. gerència de serveis de biblioteques,1
diputació de barcelona. gerència de serveis de comerç,2
diputació de barcelona. gerència de serveis de cultura,29
diputació de barcelona. gerència de serveis de cultura. oficina de difusió artística,11
diputació de barcelona. gerència de serveis de cultura. oficina patrimoni cultural,2
diputació de barcelona. gerència de serveis de medi ambient,1
diputació de barcelona. gerència de serveis de medi ambient. oficina tècnica d'avaluació i gestió ambiental,9
diputació de barcelona. gerència de serveis de medi ambient. oficina tècnica d'educació i promoció ambiental,5
diputació de barcelona. gerència de serveis de medi ambient. oficina tècnica de canvi climàtic i sostenibilitat,27
diputació de barcelona. gerència de serveis de promoció econòmica i ocupació,2
diputació de barcelona. gerència de serveis de promoció econòmica i ocupació. oficina tècnica d'estratègies per al desenvolupament econòmic,2
diputació de barcelona. gerència de serveis de turisme. oficina tècnica de turisme,8
diputació de barcelona. gerència de serveis residencials d'estades temporals i respir,2
diputació de barcelona. intervenció general,2
diputació de barcelona. intervenció general. servei  d'assistència econòmicofinancera,3
diputació de barcelona. oficina d'estudis i recursos culturals,1
diputació de barcelona. oficina de patrimoni i gestió immobiliària,5
diputació de barcelona. oficina del pla jove,2
diputació de barcelona. oficina tècnica de parcs naturals,4
diputació de barcelona. oficina tècnica de prevenció municipal d'incendis forestals i desenvolupament agrari,5
diputació de barcelona. organisme autònom institut del teatre,45
diputació de barcelona. organisme de gestió tributària,333
diputació de barcelona. patronat d'apostes,1
diputació de barcelona. secretaria general,47
diputació de barcelona. servei d'acció social,1
diputació de barcelona. servei d'agenda 2030 i participació,2
diputació de barcelona. servei d'assistència econòmicofinancera,2
diputació de barcelona. servei de mercat de treball,3
diputació de barcelona. servei de planificació i avaluació,2
diputació de barcelona. servei de programació,75
diputació de barcelona. servei de salut pública,1
diputació de barcelona. servei de suport a les polítiques de consum,3
diputació de barcelona. subdirecció d'edificació,31
diputació de barcelona. subdirecció d'imatge corporativa i promoció institucional,7
diputació de barcelona. subdirecció de logística,1
diputació de barcelona. tresoreria,17
"diputació de barcelona. xarxa audiovisual local, sl",14
"diputació de barcelona. àrea d'educació, esports i joventut.",1
"diputació de barcelona. àrea d'educació, esports i joventut. gerència de serveis d'educació",18
diputació de barcelona. àrea d'igualtat i sostenibilitat social,4
diputació de barcelona. àrea d'igualtat i sostenibilitat social. gerència de serveis socials,22
diputació de barcelona. àrea d'igualtat i sostenibilitat social. servei de suport als serveis socials bàsics,5
diputació de barcelona. àrea d'igualtat i sostenibilitat social. servei de suport de programes socials,2
diputació de barcelona. àrea d'igualtat i sostenibilitat social. serveis d'atenció a la dependència i la vulnerabilitat social,2
diputació de barcelona. àrea d'infraestructures i espais naturals.,2
"diputació de barcelona. àrea d'infraestructures i espais naturals. gerència de serveis d'equipaments, infraestructures urbanes i patrimoni arquitectònic",5
"diputació de barcelona. àrea d'infraestructures i espais naturals. gerència de serveis d'habitatge, urbanisme i activitats",8
diputació de barcelona. àrea d'infraestructures i espais naturals. gerència de serveis d'infraestructures viàries i mobilitat,150
diputació de barcelona. àrea d'infraestructures i espais naturals. gerència de serveis d'infraestructures viàries i mobilitat. oficina tècnica de mobilitat i seguretat viària local,4
diputació de barcelona. àrea d'infraestructures i territori,6
"diputació de barcelona. àrea d'infraestructures i territori. gerència de serveis d'equipaments, infraestructures urbanes i patrimoni arquitectònic",2
diputació de barcelona. àrea d'infraestructures i territori. gerència de serveis d'infraestructures viàries i mobilitat,101
"diputació de barcelona. àrea de desenvolupament econòmic, turisme i comerç",2
diputació de barcelona. àrea de presidència,1
"diputació de barcelona. àrea de recursos humans, hisenda i serveis interns",1
"diputació de barcelona. àrea de sostenibilitat social, cicle de vida i comunitat. gerència de serveis socials",2
direcció provincial de la tresoreria general de la seguretat social de barcelona,7
dirección general de planificación y evaluación de la red ferroviaria,13
entitat de conservació de la urbanització mas gabana,1
entitat municipal descentralitzada de bellaterra,30
entitat municipal descentralitzada de sant martí de torroella,38
entitat municipal descentralitzada de sant miquel de balenyà,59
entitat municipal descentralitzada de valldoreix,169
entitat urbanística de conservació de la urbanització tres turons,1
estudio notarial mallorca 264,1
fraternitat muprespa. mútua d'accidents de treball i malalties professionals de la seguretat social núm. 275,1
fundació badalona capital europea del bàsquet,1
fundació barcelona institute of technology for the habitat,6
fundació cardona històrica,2
fundació museu picasso barcelona,3
fundació residència d'avis de la pobla de lillet,10
"funerària vilanova, sa - àltima",2
generalitat de catalunya. departament d'empresa i treball,596
gerència regional del cadastre a catalunya-barcelona,2
gestió integral cementiris de nomber sl,6
"gestió viària s.l, gestvià",1
"gicsa-gestió iniciatives cabrera, s.a.",2
institut nacional d'estadística. delegació provincial de barcelona. oficina del cens electoral,10
"instituto de vivienda, infraestructura y equipamiento de la defensa",1
junta central d'usuaris d'aigües de l'aqüífer carme-capellades,2
junta de compensació del polígon 1 del pla de millora urbana de l'illa la escocesa de barcelona,1
junta electoral de zona d'arenys de mar,9
junta electoral de zona d'igualada,11
junta electoral de zona de barcelona,14
junta electoral de zona de berga,9
junta electoral de zona de granollers,14
junta electoral de zona de l'hospitalet de llobregat,21
junta electoral de zona de manresa,20
junta electoral de zona de mataró,8
junta electoral de zona de sabadell,11
junta electoral de zona de sant feliu de llobregat,12
junta electoral de zona de terrassa,11
junta electoral de zona de vic,16
junta electoral de zona de vilafranca del penedès,13
junta electoral de zona de vilanova i la geltrú,12
junta electoral provincial de barcelona,67
jutjat contenciós administratiu núm. 3 de barcelona,2
jutjat contenciós administratiu núm. 5 de barcelona,1
jutjat d'instrucció núm. 18 de barcelona,82
jutjat d'instrucció núm. 24 de barcelona,189
jutjat d'instrucció núm. 25 de barcelona,410
jutjat d'instrucció núm. 27 de barcelona,173
jutjat d'instrucció núm. 28 de barcelona,255
jutjat d'instrucció núm. 29 de barcelona,407
